Chart_ID|Song_Title|Song_Subtitle|Song_Artist|Song_Length|MIN_BPM|MAX_BPM|Technical_Notation|Difficulty_Name|Difficulty_Rating|Step_Artist|Pack|Type
29581|Shakawkaw| |Infected Mushroom|111|110,00|110,00| |Easy|3|Renard|Mungyodance 3|single
29582|Shining Stars| |Ryu* & MC Natsack|94|180,00|180,00| |Hard|9|Renard|Mungyodance 3|single
29583|Shining Stars| |Ryu* & MC Natsack|94|180,00|180,00| |Challenge|9|Renard|Mungyodance 3|single
29584|Shining Stars| |Ryu* & MC Natsack|94|180,00|180,00| |Medium|6|JS|Mungyodance 3|single
29585|Shining Stars| |Ryu* & MC Natsack|94|180,00|180,00| |Easy|3|JS|Mungyodance 3|single
29586|Silver Chariot| |Sonitus Vir feat. Jaql|86|180,14|180,14| |Hard|9|Renard|Mungyodance 3|single
29587|Silver Chariot| |Sonitus Vir feat. Jaql|86|180,14|180,14| |Medium|6|Renard|Mungyodance 3|single
29588|Silver Chariot| |Sonitus Vir feat. Jaql|86|180,14|180,14| |Easy|3|Renard|Mungyodance 3|single
29589|Smashtro| |Kitsune² and D-Mode-D|95|202,00|202,00| |Challenge|10|Renard|Mungyodance 3|single
29590|Smashtro| |Kitsune² and D-Mode-D|95|202,00|202,00| |Hard|9|Renard|Mungyodance 3|single
29591|Smashtro| |Kitsune² and D-Mode-D|95|202,00|202,00| |Medium|6|Renard|Mungyodance 3|single
29592|Smashtro| |Kitsune² and D-Mode-D|95|202,00|202,00| |Easy|4|Renard|Mungyodance 3|single
29593|Snort a Lot of Crack| |Emoticon X|110|210,00|210,00| |Hard|9|Renard|Mungyodance 3|single
29594|Snort a Lot of Crack| |Emoticon X|110|210,00|210,00| |Medium|7|Renard|Mungyodance 3|single
29595|Snort a Lot of Crack| |Emoticon X|110|210,00|210,00| |Easy|4|Renard|Mungyodance 3|single
29596|Snowride| |Mind Reflection|99|69,83|139,66| |Hard|9|Renard|Mungyodance 3|single
29597|Snowride| |Mind Reflection|99|69,83|139,66| |Medium|4|Renard|Mungyodance 3|single
29598|Snowride| |Mind Reflection|99|69,83|139,66| |Easy|2|Renard|Mungyodance 3|single
29599|Somnambulist| |BT|111|136,00|136,00| |Hard|9|Spectere|Mungyodance 3|single
