Chart_ID|Song_Title|Song_Subtitle|Song_Artist|Song_Length|MIN_BPM|MAX_BPM|Technical_Notation|Difficulty_Name|Difficulty_Rating|Step_Artist|Pack|Type
1|Ah Shwe Bah| |Dr. Lefty|243|214,00|214,00| |Challenge|18|@@|$$ MONEY MiNiPACK $$|single
2|Amen Babylon| |Shitmat|349|181,00|181,00| |Challenge|16|@@|$$ MONEY MiNiPACK $$|single
3|Can't Stop Raving|12" Mix|Dune|310|163,62|163,62| |Challenge|15|@@|$$ MONEY MiNiPACK $$|single
4|Citi Gurls| |Jensen Interceptor|359|150,00|150,00| |Challenge|14|@@|$$ MONEY MiNiPACK $$|single
5|FUNKED OUT| |RAW TAKES|1354|150,00|150,00| |Challenge|16|@@|$$ MONEY MiNiPACK $$|single
6|Ghost|FootMerc Remix|Machine Girl|160|160,00|160,00| |Challenge|12|@@|$$ MONEY MiNiPACK $$|single
7|GUCCI DONK| |Shere Kahnn|129|160,00|160,00| |Challenge|13|@@|$$ MONEY MiNiPACK $$|single
8|IT'S A SMALL WORLD|Ducking Hardcore MIX|TOMOSUKE|97|183,05|183,05| |Challenge|14|@@|$$ MONEY MiNiPACK $$|single
9|IT'S A SMALL WORLD|Ducking Hardcore MIX|TOMOSUKE|97|183,05|183,05| |Hard|12|@@|$$ MONEY MiNiPACK $$|single
10|It's Carl Wheezer!| |Carl Wheezer|103|140,00|140,00| |Challenge|12|@@|$$ MONEY MiNiPACK $$|single
11|Junglist| |FFF|216|204,16|204,16| |Challenge|17|@@|$$ MONEY MiNiPACK $$|single
12|P.I.M.P.|Bennie Bootleg|50 Cent|268|175,00|175,00| |Challenge|15|@@|$$ MONEY MiNiPACK $$|single
13|Slammin' Ragga Bootleg Track| |Kid606|335|204,00|204,00| |Challenge|18|@@|$$ MONEY MiNiPACK $$|single
14|Unwritten|DJ Keyliac's Sausage Mix|Natasha Bedingfield|280|200,00|200,00| |Challenge|18|@@|$$ MONEY MiNiPACK $$|single
15|Unwritten|DJ Keyliac's Sausage Mix|Natasha Bedingfield|280|200,00|200,00| |Hard|17|@@|$$ MONEY MiNiPACK $$|single
16|Y2KMIX| |CASSHISS|1280|160,00|160,00| |Challenge|16|@@|$$ MONEY MiNiPACK $$|single
17|YTHLQMDLG| |Cardopusher|247|171,00|171,00| |Challenge|16|@@|$$ MONEY MiNiPACK $$|single
18|1UL| |Danny L Harle|135|123,00|123,00| |Beginner|3|StarrySergal|15gays1pack|single
19|1UL| |Danny L Harle|135|123,00|123,00| |Easy|6|StarrySergal|15gays1pack|single
20|1UL| |Danny L Harle|135|123,00|123,00| |Medium|8|StarrySergal|15gays1pack|single
21|1UL| |Danny L Harle|135|123,00|123,00| |Hard|9|StarrySergal|15gays1pack|single
22|1UL| |Danny L Harle|135|123,00|123,00| |Challenge|10|StarrySergal|15gays1pack|single
23|1UL| |Danny L Harle|135|123,00|123,00| |Edit|10|StarrySergal|15gays1pack|single
24|ACTIVATE| |COBRAH|128|92,00|92,00| |Medium|5|valgrind|15gays1pack|single
25|ACTIVATE| |COBRAH|128|92,00|92,00|XMOD|Hard|8|valgrind|15gays1pack|single
26|ACTIVATE| |COBRAH|128|92,00|92,00|XMOD FS BU JA|Challenge|9|valgrind|15gays1pack|single
27|アニマル|covered by hiTora|DECO*27|150|188,00|188,00||Easy|3|DRILLBOT|15gays1pack|single
28|アニマル|covered by hiTora|DECO*27|150|188,00|188,00|DS DT|Medium|6|DRILLBOT|15gays1pack|single
